"","ActivityDate","total_steps"
"1",2016-04-01,220883
"2",2016-04-02,257108
"3",2016-04-03,216238
"4",2016-04-04,257086
"5",2016-04-05,250775
"6",2016-04-06,263630
"7",2016-04-07,252804
"8",2016-04-08,251265
"9",2016-04-09,240586
"10",2016-04-10,182199
"11",2016-04-11,186834
"12",2016-04-12,314095
"13",2016-04-13,237558
"14",2016-04-14,255538
"15",2016-04-15,248617
"16",2016-04-16,277733
"17",2016-04-17,205096
"18",2016-04-18,252703
"19",2016-04-19,257557
"20",2016-04-20,261215
"21",2016-04-21,263795
"22",2016-04-22,238284
"23",2016-04-23,267124
"24",2016-04-24,236621
"25",2016-04-25,253849
"26",2016-04-26,250688
"27",2016-04-27,258516
"28",2016-04-28,242996
"29",2016-04-29,234289
"30",2016-04-30,258726
"31",2016-05-01,206870
"32",2016-05-02,204434
"33",2016-05-03,248203
"34",2016-05-04,196149
"35",2016-05-05,253200
"36",2016-05-06,217287
"37",2016-05-07,207386
"38",2016-05-08,190334
"39",2016-05-09,222718
"40",2016-05-10,206737
"41",2016-05-11,180468
"42",2016-05-12,73129
