"","ActivityDate","total_steps"
"1","3/12/2016",5543
"2","3/13/2016",3226
"3","3/14/2016",11456
"4","3/15/2016",5906
"5","3/16/2016",14622
"6","3/17/2016",8940
"7","3/18/2016",1317
"8","3/19/2016",5702
"9","3/20/2016",10374
"10","3/21/2016",11438
"11","3/22/2016",12223
"12","3/23/2016",13548
"13","3/24/2016",1958
"14","3/25/2016",18377
"15","3/26/2016",22794
"16","3/27/2016",24140
"17","3/28/2016",17250
"18","3/29/2016",47606
"19","3/30/2016",68714
"20","3/31/2016",64958
"21","4/1/2016",220883
"22","4/10/2016",182199
"23","4/11/2016",186834
"24","4/12/2016",314095
"25","4/13/2016",237558
"26","4/14/2016",255538
"27","4/15/2016",248617
"28","4/16/2016",277733
"29","4/17/2016",205096
"30","4/18/2016",252703
"31","4/19/2016",257557
"32","4/2/2016",257108
"33","4/20/2016",261215
"34","4/21/2016",263795
"35","4/22/2016",238284
"36","4/23/2016",267124
"37","4/24/2016",236621
"38","4/25/2016",253849
"39","4/26/2016",250688
"40","4/27/2016",258516
"41","4/28/2016",242996
"42","4/29/2016",234289
"43","4/3/2016",216238
"44","4/30/2016",258726
"45","4/4/2016",257086
"46","4/5/2016",250775
"47","4/6/2016",263630
"48","4/7/2016",252804
"49","4/8/2016",251265
"50","4/9/2016",240586
"51","5/1/2016",206870
"52","5/10/2016",206737
"53","5/11/2016",180468
"54","5/12/2016",73129
"55","5/2/2016",204434
"56","5/3/2016",248203
"57","5/4/2016",196149
"58","5/5/2016",253200
"59","5/6/2016",217287
"60","5/7/2016",207386
"61","5/8/2016",190334
"62","5/9/2016",222718
